0,Which Commercial Light Truck tire has a steel casing for enhanced retreadability?,Duravis R238,Duravis R500 HD,Transforce A/T2,Transforce HT2
0,Which Commercial Light Truck tire is NOT an all-season tire?,Duravis R238,Duravis M700 HD,Transforce A/T2,Transforce HT2
0,Which Commercial Light Truck tire is an all-terrain tire?,Duravis M700 HD,Duravis R500 HD,Duravis R238,Transforce HT2
0,Which Commercial Light Truck tire is an all-terrain tire?,Transforce A/T2,Duravis R500 HD,Duravis R238,Transforce HT2
0,Commercial Light Truck tires are designed for which vehicles?,Heavy-duty trucks and commercial vehicles,Light-duty trucks and SUVs,Light trucks and CUVs,SUVs and CUVs
1,True or False: All Bridgestone and Firestone Commercial Light Truck tires are backed by a road hazard warranty.,FALSE,TRUE,,
1,True or False: The Transforce A/T2 is an all-terrain Commercial Light Truck tire.,TRUE,FALSE,,
0,Which technology makes the Transforce A/T2 tough enough to deal with rough road conditions like gravel?,Chip- and Tear-Resistant Tread Compound,Innovative Tread-To-Road Contact Footprint,Dual Layer Tread,All-Terrain Tread Pattern
0,Which of these is NOT a feature of the Transforce HT2?,Pinned for #14 studs,Chip and tear resistance,Quiet ride,All-season performance
1,"True or False: The Transforce HT2 is a commercial-grade, heavy-duty highway tire.",TRUE,FALSE,,
1,True or False: The Duravis R238 is retreadable.,TRUE,FALSE,,
0,Which of these is NOT a feature of the Duravis R238?,All-terrain performance,Retreadable for long life,Resists cuts and scrapes,Low cost-per-mile in harsh conditions
1,"True or False: The Duravis R238 is a commercial-grade, long- and short-haul highway tire.",TRUE,FALSE,,
0,Which of these is NOT a feature of the Duravis M700 HD?,"50,000-mile/80,000 km limited treadwear warranty",Long wear life,Reliable traction,All-terrain performance
1,True or False: The Duravis M700 HD is an all-season Commercial Light Truck tire.,TRUE,FALSE,,
1,True or False: The Duravis M700 HD is engineered to help deliver long wear life.,TRUE,FALSE,,
0,Which of these is NOT a feature of the Duravis R500 HD?,"40,000-mile/65,000 km limited treadwear warranty",Long wear life,Provides smooth commercial highway driving,All-season performance
1,True or False: The Duravis R500 HD provides smooth highway driving on commercial trucks.,TRUE,FALSE,,
1,True or False: Commercial Light Truck tires are designed for heavy-duty trucks and commercial vehicles.,TRUE,FALSE,,
1,"True or False: Commercial Light Truck tires come with a standard 50,000-mile/80,000 km limited treadwear warranty.",FALSE,TRUE,,
