1,"True or False: Potenza means ""Power"" or ""Strength"" in Italian.",TRUE,FALSE,,
1,"True or False: Potenza means ""Power"" or ""Strength"" in Latin.",FALSE,TRUE,,
1,"True or False: Potenza is the name of Bridgestone’s family of Performance tires.",TRUE,FALSE,,
1,"True or False: Potenza is the name of Firestone’s family of Performance tires.",FALSE,TRUE,,
1,True or False: Performance tires are engineered to provide quicker steering response than Standard Passenger tires.,TRUE,FALSE,,
1,True or False: Standard Passenger tires provide quicker steering responses than Performance tires.,FALSE,TRUE,,
1,True or False: Ultra-High Performance Summer tires are not intended for use at below-freezing temperatures.,TRUE,FALSE,,
1,True or False: The Potenza RE980AS features 3D Sipes.,TRUE,FALSE,,
1,True or False: The Potenza RE980AS is a run-flat tire.,FALSE,TRUE,,
1,"True or False: The Potenza RE97AS is offered as Original Equipment on cars from Cadillac, Chevrolet, and Honda.",TRUE,FALSE,,
0,The Potenza RE-71R belongs to which category?,Extreme Summer Performance,Extreme All Season Performance,Extreme Summer Touring,Extreme Summer Run-Flat
0,The Potenza RE-71R:,Has a unique ultra-high performance tread compound.,Shares its tread compound with Turanza tires.,Is an all-season tire.,Gets its exceptional grip from titanium granules in its tread rubber.
1,True or False: The Potenza RE-71R tread features Hydro-Evacuation Surface for enhanced wet traction.,TRUE,FALSE,,
0,"Potenza RE980AS features See-Through Voids and Open Shoulder Slots, which:","Delivers enhanced wet performance.","Is optimized for driving on packed dirt and gravel.","Is intended to meet stringent ETRTO pass-by noise standards.","Delivers enhanced dry performance."
0,Which of the following is NOT an optimized characteristic of Performance tires?,Ride comfort,Handling response,High speed stability,Cornering traction
1,"True or False: All Potenza tires come with Bridgestone’s 90 Day Buy & Try Guarantee.",FALSE,TRUE,,
0,What type of tire is the Potenza RE980AS?,All Season,Summer,Winter,Max Traction
0,What type of tire is the Potenza S-04 Pole Position?,Summer,All Season,Winter,Max Traction
0,The Potenza S007A RFT is which type of tire?,Summer,All Season,Winter,All Terrain
1,True or False: The Potenza S007A RFT provides 50 miles/80 kilometers of mobility at speeds up to 50 mph/80 kph after a pressure loss.,TRUE,FALSE,,
1,"True or False: Firehawk is the name of Firestone’s family name of Performance tires.",TRUE,FALSE,,
1,"True or False: The Firehawk AS is Firestone’s flagship Ultra-High Performance tire.",FALSE,TRUE,,
1,"True or False: The Firehawk Indy 500 is Firestone’s flagship Ultra-High Performance tire.",TRUE,FALSE,,
1,"True or False: The Firehawk AS and the Firehawk Indy 500 are all-season Performance tires.",FALSE,TRUE,,
1,True or False: The Firehawk AS is Firestone’s best all-season Performance tire.,TRUE,FALSE,,
